,FullName,SegmentID,CD,CS_RoundSc_Q1_2016,CS_RoundSc_Q4_2016,CS_RoundSc_Q4_2017,Miles,SanDist,LAPD_Grid,Cat_Q1_2016,Cat_Q4_2016,Cat_Q4_2017
35494,Alley,39108,14,3,2,3,0.100761449115428,NC,408,Not Clean,Somewhat Clean,Not Clean
35495,Alley,39109,13,1,1,1,0.017254513604683,NC,1184,Clean,Clean,Clean
35496,Alley,39110,1,1,1,1,0.033538066411663,NC,1178,Clean,Clean,Clean
35497,Alley,39111,14,0,1,1,0.056821947828727,0,427,Not Evaluated,Clean,Clean
35498,Alley,39112,5,3,3,1,0.130023817086809,WLA,711,Not Clean,Not Clean,Clean
35499,Alley,39113,10,2,1,1,0.029398535856245,SC,336,Somewhat Clean,Clean,Clean
35500,Alley,39114,10,3,2,1,0.071037176801999,WLA,311,Not Clean,Somewhat Clean,Clean
35501,Alley,39115,8,2,2,1,0.124970430578282,SC,337,Somewhat Clean,Somewhat Clean,Clean
35502,Alley,39116,8,2,1,2,0.124959560916972,SC,337,Somewhat Clean,Clean,Somewhat Clean
35503,Alley,39117,9,0,1,1,0.025479908129256,0,1321,Not Evaluated,Clean,Clean
35504,Alley,39118,9,2,2,1,0.124122221766427,SC,1313,Somewhat Clean,Somewhat Clean,Clean
35505,Alley,39119,10,2,1,1,0.067258059806132,SC,334,Somewhat Clean,Clean,Clean
35506,Alley,39120,10,1,1,1,0.060904662681989,SC,333,Clean,Clean,Clean
35507,Alley,39121,11,1,1,1,0.077051402020202,WLA,1401,Clean,Clean,Clean
35508,Alley,39122,5,1,1,1,0.037899513973892,WLA,1406,Clean,Clean,Clean
35509,Alley,39123,9,1,1,2,0.03435928913313,SC,1324,Clean,Clean,Somewhat Clean
35510,Alley,39124,9,2,3,3,0.15353523870365,SC,1323,Somewhat Clean,Not Clean,Not Clean
35511,Alley,39125,11,2,2,1,0.118032405926659,WLA,1424,Somewhat Clean,Somewhat Clean,Clean
35512,,39126,8,1,2,1,0.059716607445233,SC,356,Clean,Somewhat Clean,Clean
35513,Alley,39127,9,1,2,2,0.143440631829161,SC,1324,Clean,Somewhat Clean,Somewhat Clean
35514,Alley,39128,9,2,2,1,0.249350887121365,SC,1375,Somewhat Clean,Somewhat Clean,Clean
35515,Alley,39129,11,1,1,1,0.079926882799865,WLA,1443,Clean,Clean,Clean
35516,Alley,39130,5,2,2,1,0.139783955733015,WLA,711,Somewhat Clean,Somewhat Clean,Clean
35517,,39131,14,3,2,1,0.091997269107769,NC,438,Not Clean,Somewhat Clean,Clean
35518,Alley,39132,13,1,1,2,0.046974480592899,NC,221,Clean,Clean,Somewhat Clean
